,mapper_node_location,PTTG1,CDC20,ORC6,KIF2C,UBE2C,MYBL2,MELK,BIRC5,NUF2,CEP55,EXO1,CENPF,NDC80,TYMS,UBE2T,ANLN,CCNB1,RRM2,MKI67,MIA,FOXC1,ACTR3B,CCNE1,PHGDH,SFRP1,MYC,CDH3,KRT5,KRT17,KRT14,EGFR,CDC6,ESR1,BCL2,FOXA1,CXXC5,MLPH,MAPT,SLC39A6,NAT1,BAG1,MDM2,PGR,GPR160,MMP11,BLVRA,FGFR4,GRB7,ERBB2,TMEM45B
GTEX-1117F-2826-SM-5GZXL,b,0.15057658874977026,-0.5035564472700759,-0.6044821331258088,-0.3965014510479513,-0.409566621049809,-0.353556930008465,-0.3512491165597561,-0.47494467629585285,-0.29484053155305573,-0.29801101355850385,-0.30439844920408293,-0.7626026681388984,-0.5719926469252532,-0.6260306734780958,-0.593173502203576,-0.4233846175048742,-0.6147630928082221,-0.3546022523839838,-0.4088531918440659,-0.30546408022006666,-0.8363653797281628,-0.19515834425844833,-0.7623666021250012,-0.80783211354915,-0.6179946757331752,-0.2160338025474089,-0.2600114133897376,-0.43027046194438423,-0.2702985489095053,-0.3823035747971086,-0.7249731207719872,-0.22050337122964736,-0.4913134773511909,-0.26847880261779533,-0.3895856278940231,-0.9474305483022141,-0.15713572421656052,-0.7633003676470015,-0.44105564954916254,-0.11231987061041021,-0.27069530061950137,-0.7046902230947863,-0.4113074660994367,2.0311434350845046,-0.1744069983114709,-0.5656250107614544,-0.3743276328073841,-0.20866637158543094,-0.49025680310346026,-0.22909393866558164
GTEX-111YS-1926-SM-5GICC,none,-0.516735132166117,-0.2847308868723856,-0.2968486403972603,-0.15830189759353236,-0.3633077333319228,-0.34705566124285375,-0.40306763051235905,-0.3439832944864829,-0.17745481745312963,-0.35367215177144895,0.4102455583721949,-0.2426860555143857,0.0055246369761424476,-0.3429472726786132,-0.34885801194800375,-0.3806248775280138,0.06508205612986998,-0.36377327291295514,-0.3940986590373487,-0.3915364268661533,-0.3228021720280374,0.06962582963347234,-0.38413955841563124,-0.778878606373713,-0.17336096529828413,0.2593061271851297,-0.15582241372690261,-0.5106720745389178,-0.47800219259787075,-0.425928467015747,-0.5616348628715212,-0.5093014638075786,0.6079755247091486,2.0091831586949627,3.5570150206866207,-0.5917680044742802,1.3480347286757945,2.2175248807923573,2.2318098427185107,0.27088909970745995,-0.07768815086672456,0.6343948745041819,1.108775521034062,0.39625353729570667,-0.5166409482480668,-0.8928386137876998,-0.029461248791775065,1.6498927649259965,1.7929120206319844,1.8183254660999462
GTEX-1122O-1226-SM-5H113,f,-0.18307927170817337,0.3130364976286218,0.19023772308960826,-0.2557471694612492,-0.34480417824476833,-0.10650871691523792,0.1280721375018213,-0.28785698799675297,-0.13050053181315918,-0.1866887371326136,0.37621489134475306,0.017272250797870654,-0.19940085085983664,-0.5740357631271704,-0.6375945004318618,-0.1973688490557548,0.05213262472152536,-0.2307934752428711,-0.14748718212507617,-0.1691828646970961,-0.8947455667491362,-0.21552635763474992,-0.5606455121466705,0.005861277760544679,0.07465631020434312,-0.33775199439039666,-0.16973690553855159,0.15921908838061416,0.0049538114553632755,-0.21988616423257953,0.5433494948535978,0.0986945205670135,-0.4313409301224491,-0.17346229222689696,-0.23555635561743446,-0.7487030358036324,-0.4677874327214516,-0.5039710083387857,0.033287608391645004,0.20121474146784718,0.017207031095057345,-0.29613190820399116,-0.4524315776897944,-0.7770203893527247,-0.5373823997593756,0.01780301727590747,0.1414593713563119,-0.3893804213885834,-0.1807307462692424,-0.4181942485698094
GTEX-117XS-1926-SM-5GICO,f,-0.1100920522329982,0.41978067343237313,0.6004157133943396,-0.16912915002327866,-0.1135097396553373,-0.02199222296229182,0.7628489334212076,0.10502715743135678,0.29208803894657476,0.05450952845681521,-0.44052111731385013,-0.2997500739731737,-0.16214167125329498,-0.3487244849398271,-0.570963003089433,0.08362372793504233,0.14277864457993764,0.039751630361782524,0.012704888347853016,-0.6282353801428916,1.5873245720644362,0.42606606371875017,1.179198888916431,-0.801841732754232,-0.7036992755754442,1.5226193961726568,-0.6462234056252628,-0.827876611660114,-0.6744823572076787,-0.7556514895984792,0.33829009828123763,-0.03810457591726972,-0.4729322810577064,0.4608925397353598,-0.7078701822248994,0.6560360761498615,0.18795924407991763,-0.4006292335768652,-0.8725993521918982,0.222117048939731,-0.786185229750876,0.41673191019167205,-0.41319389323660904,1.3771874759689853,-0.5373823997593756,-0.025413873689823042,-0.35239534084147917,-0.8676236802599097,-1.0158407666518168,-0.6259711322917387
GTEX-117YX-1426-SM-5H12H,b|c,-0.3916141844943881,-0.2580448429214478,-0.5532098843377173,-0.49394672291566816,-0.05799907439387385,0.1015318835843217,-0.10511117528489201,-0.213021912677113,-0.08354624617318876,0.09161695393211196,-0.3724597832589665,-0.1475793580830724,-0.5533630571219823,-0.695357220612663,-0.03791102435000269,-0.19126031477334618,0.2204752330300053,-0.14825429048212932,0.10755545639103477,-0.6264422062544315,-1.0917786979449216,-1.098140270607819,1.8852227038405882,0.16211037682798912,-0.6810675621899857,-0.4940686991516216,-0.6591197638897179,-0.8434166993702147,-0.676768621464422,-0.7606319212682603,0.3049131873437222,-0.8892989540416987,-0.6009775637123187,-0.6047962350805436,-0.7545263518356503,-1.3986187633741012,-0.8618978091828806,-0.7413646135701787,-0.7852261667647461,-0.36314756027301615,-0.6631431717834808,-0.7962636385013439,-0.682575688424824,-1.185742863799924,-1.1077723163203688,0.11504102194880113,-0.4628130866008628,-0.8925841843763672,-0.9616083138769199,-0.6586551364727163
GTEX-1192X-2326-SM-5987X,none,-0.1622257804295519,-0.19933554622938457,0.062057101119379704,-0.05002937329606918,-0.048747296850296606,0.17304584000604534,-0.06624728982043979,0.42307622753982654,-0.17745481745312963,0.28643093767741984,0.5123375594545203,-0.21732426953270217,-0.21803044066310748,0.2058878921367103,-0.1711740190348603,-0.160717643361303,0.7190283422512728,0.2048299998832661,-0.04631324287901563,-0.1369057347048136,-0.826331285083933,0.29367397677278984,-0.1824184684373006,-0.10995275094120327,0.06720373630501539,-0.1273556320497648,-0.34451649780682525,-0.41379663505856934,-0.4051188593223002,-0.3150677472550633,0.1970640438768756,-0.4181020661513898,0.13037596677844138,1.2360632072409623,0.2744658820452949,-0.0058203603261015886,1.0938169765986576,1.3766543078474853,0.9254254890348749,-0.5303660200480868,0.4474521357522889,-0.21864671055228863,4.5405637689780445,0.7833377630957015,-0.13292409528885324,0.42836348145034736,-0.3652522016490786,0.6250144659042505,0.46133964317503373,0.3171958455021875
GTEX-11DXW-0626-SM-5N9ER,none,0.49465919484702464,0.014152805378118097,0.9080492061228882,0.1340339180096182,0.6358842413744191,0.14053949617798914,0.5814841345870972,0.17986223275099672,0.7381537525262939,-0.001151609756129897,0.546368226481962,0.7908067232392189,0.48989397186118394,0.6334015994665412,1.2947189224985731,0.36461630492583946,0.49888800830941443,0.09019224327112473,0.38156820851578205,-0.02214260584336472,0.168868465539223,0.12394053197027659,-0.20763360468459194,0.20104785199495612,-0.6683543478911325,-0.5171343744304464,-0.35910974531660345,-0.3316609354234236,-0.15009647359285616,0.04416894448192737,-0.5003047890238367,0.9498888986914424,3.6779468514209483,0.8348064331441469,0.9286109450124672,1.4151239994277058,0.5069568193804626,1.4224756608079596,0.38144979397699696,0.0548985891646604,-0.7942271943239083,-0.07987776566696683,0.9461655018098034,0.30729629285719856,1.4952798483488907,-0.28625867987583936,0.17246709448052236,0.19619300518351016,0.7687731294841752,0.12576096387074703
GTEX-11DXY-2326-SM-5GICW,b,-0.3916141844943881,-0.6156378318640148,-0.7070266307019917,-0.6996645190808481,-0.5205879515727359,-0.3925645426021324,-0.454886144464962,-0.5310709827855828,-0.7174291023127897,-0.46499442819733916,-0.4064904502864083,-0.6674959707075852,-0.3111783896794616,-0.6895800083514491,-1.1484359800571493,-0.5211211660234124,-0.9967713193543881,-0.3958718447643547,-0.41306877264598507,-0.6443739451390329,-0.2826657934511182,-0.7111480164580887,-0.8127968746195838,-0.005121087030138317,-0.6983290385009286,-0.5512653398768156,-0.6540290961537488,-0.8419160471235311,-0.676768621464422,-0.7593714416481305,-0.5964720136625529,-0.5245013634169434,-0.42916011022322215,-0.9534179638529044,-0.7532481006134379,-0.4459207742714585,-0.7873149043264824,-0.923187641806954,-0.8941100095178721,-0.35618012444905484,-0.8400663923901929,-0.9223531874072961,-0.5890089024210743,1.1848474879938327,0.613768159118265,-0.7261448914913107,-0.2934050383124934,-0.888590503717734,-0.9609107903685611,-0.6446477061094402
GTEX-11DXZ-1926-SM-5GZZL,c,-0.6627095711164673,-0.5088936560602634,-0.7326627550960374,-0.8079370433783114,-0.45582550876769523,-0.08700491061840421,-0.3642037450479068,-0.5123622139556728,-0.7643833879527601,-0.42788700272204244,-0.30439844920408293,-0.6928577566892687,-0.49747428771216984,-0.614476248955668,-0.5487525039752901,0.4806784562916035,-0.7442574068916682,-0.3775298037064121,-0.3582662222210356,-0.4937473385083812,-0.3693238835603756,-0.6636226519133849,1.960868112582462,1.2393805231140758,-0.46439493573453094,-0.7703892550256515,-0.6492778062668443,-0.8378476121436335,-0.6766993407293691,-0.7563893313273355,0.24379171918939715,-0.6765003595105914,-0.3062553316167877,0.9058979229330205,-0.7513307237801194,-0.31372006853205864,-0.8063911712879769,0.08780689053372152,-0.7721423648860609,-0.4467567901605514,-0.20314279820602948,-0.8702267817143327,-0.5365662280076823,-0.7241268926595577,-0.1536655468001621,0.6537086986287993,-0.31760618806797475,-0.892084974294038,-0.7983878129209605,-0.6259711322917387
GTEX-11DZ1-0326-SM-5N9BN,b|c,-0.016251341479201556,-0.5676029527523266,-0.2968486403972603,-0.6888372666511019,-0.48358084139842694,-0.39906581136774366,-0.4807954014412635,-0.11947806852756307,-0.5765662453928784,-0.3165647262961522,-0.2363371151491993,-0.3314523064502781,-0.6837701857448781,-0.42382824433560823,0.0953519703348549,-0.48446996032896056,-0.2910273075996068,-0.2628920470942707,-0.2739546061826518,-0.60851046736983,-0.6840295792203104,0.6569035486501682,-0.4345698309102139,-1.0399593693522224,-0.7964728609545754,0.624928250185961,-0.660816653135041,-0.8444838298567452,-0.6771843058747389,-0.76032448721457,-1.5466709469149442,-0.19010357201091774,-0.5961486053640305,-0.8262735686535728,-0.7538872262245441,-0.908196790469876,-0.886140565113113,-0.6901811873909256,-0.8240340536930497,1.5947019062601022,0.11129801659953603,-0.14468356733929985,-0.6965352492398995,2.593737899911826,-0.8588748981846627,0.8281197228833546,-0.4340742212662287,-0.8915857642117089,-0.9874166836861956,-0.6072945584740372
