,mapper_node_location,ESR1,AR,VDR,KRT5,MKI67,KRT18,MME,SMN1,TP63
GTEX-1117F-2826-SM-5GZXL,b,-0.491313477351191,-1.26251611296856,0.382687203216399,-0.430270461944384,-0.408853191844066,-0.43065013429515,-0.62454630312413,-0.733022606195054,-0.342212571664569
GTEX-111YS-1926-SM-5GICC,none,0.607975524709149,1.20446516921357,-0.274401684831181,-0.510672074538918,-0.394098659037349,0.468222207845571,-0.601311357945417,-0.210558993342219,-0.176444691335338
GTEX-1122O-1226-SM-5H113,f,-0.431340930122449,-0.013032487644374,0.401932484456286,0.159219088380614,-0.147487182125076,-0.389308694142584,-0.215340569588346,-0.70656875237972,0.065038788387514
GTEX-117XS-1926-SM-5GICO,f,-0.472932281057706,-0.711138942264754,-0.806396244819493,-0.827876611660114,0.012704888347853,-0.787980008555014,-0.271961649586958,0.087046862080282,-0.697941482425134
GTEX-117YX-1426-SM-5H12H,b|c,-0.600977563712319,-0.094774407058106,-0.680614585287373,-0.843416699370215,0.107555456391035,-0.807890775687316,1.6912784270183,-1.23564582868639,-0.715414313054432
GTEX-1192X-2326-SM-5987X,none,0.130375966778441,-0.827913112855799,-0.105318142509314,-0.413796635058569,-0.046313242879016,0.037936850963531,-0.651616142167291,0.642577792202284,-0.21497452297943
GTEX-11DXW-0626-SM-5N9ER,none,3.67794685142095,0.890190336188103,-0.459293851028669,-0.331660935423424,0.381568208515782,2.04679646308289,-0.570181043045782,-0.124583968442385,-0.381638445905035
GTEX-11DXY-2326-SM-5GICW,b,-0.429160110223222,-1.01830578229772,-0.739037760479888,-0.841916047123531,-0.413068772645985,-0.808346747453704,-0.84900038519034,-0.203945529888385,-0.714966291756245
GTEX-11DXZ-1926-SM-5GZZL,c,-0.306255331616788,0.74955361769367,-0.662056635520339,-0.837847612143633,-0.358266222221036,-0.810322625108055,1.08288379452325,-0.283307091334386,-0.703765759301567
GTEX-11DZ1-0326-SM-5N9BN,b|c,-0.59614860536403,-1.3818288524855,-0.52115368358545,-0.844483829856745,-0.273954606182652,-0.780988441470389,-0.985477490366277,1.37667223557779,-0.711830142668935
GTEX-11EI6-0626-SM-5985T,none,1.06329956509775,0.191576167782545,-0.453107867772991,-0.2096412338542,-0.254984492574015,0.232180823445074,-0.847421311246156,-0.151037822257718,-0.322499634544336
GTEX-11EM3-1326-SM-5N9C6,none,-0.427913927423664,-1.04775318183807,3.88532838887588,1.31155327469505,-0.153810553327955,0.927385776598888,-0.478369172291061,-0.203945529888385,0.741998969948238
GTEX-11EMC-2026-SM-5A5JV,none,1.88827257840533,0.180914178293797,2.09070591325639,1.0903571335339,-0.339296108612399,0.751684655950482,-0.415882960499764,0.801300915094285,0.996923088616703
GTEX-11EQ9-1826-SM-5Q5AJ,none,-0.505333033846221,-0.30750648304788,-0.4881617728885,-0.776387565685016,4.63298144725128,-0.657420092779079,1.75060649092122,-0.481710994949386,-0.698837525021508
GTEX-11GS4-2126-SM-5A5KR,none,1.06143029089841,-0.064311579947398,-0.51909168916689,0.781289466372497,-0.214936474955783,1.60085607555484,-0.262036041937799,-0.375895579688052,0.016204466885119
GTEX-11GSO-1926-SM-5A5K3,a,-0.542874290682914,-1.14574194237751,-0.731477114278503,-0.82964404652843,0.70195234946164,-0.805002954500188,-0.58506945451952,-0.56768601984922,-0.689877099057766
GTEX-11I78-2226-SM-5PNYA,d,-0.480097832155166,0.436294212238562,0.208105009111707,-0.036832790691664,-0.366697383824874,-0.554522464164052,0.484865933661419,-0.931426509810054,-0.193469500666448
GTEX-11LCK-2426-SM-5HL5F,b,-0.342394632803978,0.273318087196276,-0.425614608858866,-0.483560290615502,-0.311894833399925,-0.518044722852964,-0.528448374520909,-1.88376524716206,-0.588624285667479
GTEX-11NSD-0926-SM-5N9DR,b|c,-0.474645782407099,0.467264753134447,-0.729415119859944,-0.809268523801238,-0.311894833399925,-0.406939602442943,-0.333094369426096,-1.65890748973172,-0.606097116296777
GTEX-11NV4-2026-SM-5N9DG,b|c,-0.305164921667174,-0.63345873313245,-0.667555287303163,-0.845851090792612,-0.166457295733712,-0.799987265069913,-0.783581607502701,1.97188394642279,-0.718102440843554
GTEX-11O72-2126-SM-5N9FO,d,-0.548637886130871,-0.997997230890582,-0.766531019394012,-0.84338335154251,-0.223367636559622,-0.809106700397685,-0.399866639065894,0.027525690995782,-0.678228545304901
GTEX-11OF3-1926-SM-59889,c,-0.393488127585867,-0.554763096429789,-0.575452869940846,-0.841615916674194,-0.166457295733712,-0.796339490938805,-0.494159911732905,-0.349441725872719,-0.706453887090689
GTEX-11ONC-2126-SM-5HL6E,c,-0.491625023051081,-0.805573706307947,-0.727353125441385,-0.837780916488225,0.33941240049659,-0.808346747453704,-0.305798948390909,-0.938039973263887,-0.692117205548702
GTEX-11P7K-0726-SM-5EGKX,none,1.2158011851937,1.79138230487987,0.386123860580664,1.98257826375652,-0.345619479815278,1.11311827610784,-0.527997210536856,0.225929594610783,0.135378132202891
GTEX-11P81-1926-SM-5BC53,g,-0.45252603771494,-0.762925748352956,-0.016652382511262,0.289475703392745,1.12772601045548,0.013010394400955,1.58570605474997,-0.561072556395386,1.36967680870838
GTEX-11P82-1326-SM-5HL62,c,-0.595992832514086,0.418016515972137,-0.908808634274608,-0.845350873377051,-0.404637611042147,-0.81533831453833,0.14378596171759,-0.878518802179388,-0.718102440843554
GTEX-11PRG-0826-SM-5EQ6A,none,0.340825087053844,-0.054157304243829,-0.149994688244767,1.02422839119671,-0.299248090994167,0.966599348508307,-0.646878920334738,1.58830306610045,0.552933982113277
GTEX-11TT1-2126-SM-5GU5Y,none,-0.160607716918415,-0.327307320669839,-0.345196826535052,0.324124096377283,-0.383559707032551,0.924953927178148,-0.714779099934667,-0.276693627880552,-0.427784639618307
GTEX-11TUW-1826-SM-5BC5D,c,-0.544743564882252,0.467264753134447,-0.712231833038616,-0.84158256884649,-0.383559707032551,-0.81853011690305,0.523891618281976,0.411106571318117,-0.714966291756245
